Company ID,TotalRev,ZipCode,NumEmployees,CallCycle,ContractType,OriginalSourceType,FirstConversion,Industry,MRR,LikelihoodToClose,Gauge,YearFounded,Strategic
528347583,"$1,260,865.24 ",37902,10000,Monthly,SafetyNet Standard,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: WP - Four Safety Truths",Utilities,18749.99,2.13,Green,1933,Yes
527741704,,22904,10000,Yearly,SafetyNet Standard,Offline Sources,,Higher Education,1377,,Yellow,1819,No
527453013,"$653,824.00 ",55441,10000,Monthly,SafetyNet Standard,Offline Sources,Making the Case for Predictive Analytics in Workplace Safety: Download Your Whitepaper,Mining & Metals,8650,19.46,Green,2004,Yes
527499250,,44125,500,Quarterly,SafetyNet Standard,Offline Sources,"Four ""Safety Truths"" That Reduce Workplace Injuries - Predictive Solutions: Download Your Whitepaper",Construction,3173,,Green,1941,No
527444500,"$5,000.00 ",92078,10000,Yearly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Oil & Energy,400,,Green,1924,No
527427225,"$775,200.00 ",94063,5000,Quarterly,SafetyNet Evergreen,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Construction,17150,2.39,Yellow,1990,Yes
528242181,"$45,090.00 ",28791,10,Yearly,SafetyNet Standard,Offline Sources,,Construction,320,,Green,1985,No
527430780,"$18,000.00 ",15108,5000,Quarterly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,,6500,,Green,2000,Yes
527476832,"$90,000.00 ",23607,200,Yearly,SafetyNet Evergreen,Offline Sources,,,2500,,Green,1886,No
527714638,,63005,50,Yearly,SafetyNet Evergreen,Offline Sources,Making the Case for Predictive Safety Analytics in the Workplace: WP - Making the Case Whitepaper,Management Consulting,570,33.58,Green,1998,No
527430772,"$8,892.00 ",20770,5000,Yearly,SafetyNet Standard,Offline Sources,User Resources - Predictive Solutions: PSC Contact Support,Real Estate,247,,Green,1988,No
527511295,"$7,200.00 ",46809,200,Yearly,SafetyNet Standard,Offline Sources,,Construction,200,34.03,Green,1948,No
527714565,"$85,500.00 ",46250,1000,Yearly,SafetyNet Evergreen,Offline Sources,SafetyNet Web Services / APIs - Predictive Solutions: LP - SafetyNet Web Services/APIs,Construction,2375,45.95,Green - Flat,1984,No
527427082,"$397,600.00 ",2903,500,Monthly,SafetyNet Standard,Offline Sources,Saving Lives at Work [White Paper]: WP - Saving Lives at Work ,Construction,16565.67,0.51,Green,1873,Yes
527714623,,29303,10000,Quarterly,SafetyNet Standard,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Textiles,600,,Green,1865,Yes
527714621,"$1,800.00 ",94065,500,Yearly,SafetyNet Evergreen,Offline Sources,SafetyNet - Start Right eLearning - Predictive Solutions: eLearning Support Form,,1400,,Green,2007,No
527475398,"$50,880.00 ",60523,1000,Yearly,SafetyNet Evergreen,Offline Sources,Predictive Solutions | Leading Indicators Webinar Registration: Webinar Registration - Leading Indicators 05.2018,Construction,2120,,Green,1890,No
527714676,$750.00 ,23831,1000,Yearly,SafetyNet MTM,Offline Sources,,,1350,,Red,1953,No
