"","churn","usecompetitors","sessions","FF","strategic","callcycle_Every.Other.Month","callcycle_Half.Year","callcycle_Monthly","callcycle_None","callcycle_Quarterly","callcycle_Yearly","Close.Date","First.Deal.Created.Date","Last.Call.Cycle.Date","Time.of.Last.Session","days_live"
"23",0,0,4,0,0,0,0,0,1,0,0,"10/27/2017 14:30","10/11/2017 1:00","","8/7/2018 5:56",861
"24",0,0,4,0,1,0,0,0,0,1,0,"9/14/2017 9:32","11/22/2016 0:00","6/20/2019","8/24/2018 9:55",1184
"25",1,0,0,0,0,0,0,0,0,1,0,"8/24/2017 16:40","5/10/2017 0:00","1/17/2019","",617
"26",0,1,1,0,1,0,0,0,0,1,0,"8/24/2017 16:40","5/11/2017 0:00","7/2/2019","7/17/2018 10:39",1014
"27",0,0,6,0,0,0,0,0,0,0,1,"8/24/2017 16:40","1/26/2017 0:00","8/22/2018","7/25/2018 12:53",1119
"28",0,0,24,0,1,0,0,0,0,1,0,"11/20/2018 13:18","5/9/2017 0:00","11/1/2019","5/6/2019 12:30",1016
"29",0,1,22,0,1,1,0,0,0,0,0,"8/24/2017 16:40","11/3/2016 0:00","2/28/2019","7/24/2018 7:55",1203
"30",0,1,34,1,1,1,0,0,0,0,0,"8/24/2017 16:40","7/12/2012 0:00","12/5/2018","4/30/2019 14:33",2778
"31",0,0,35,0,0,0,0,0,0,0,1,"8/24/2017 16:40","5/10/2017 0:00","3/6/2018","9/20/2018 12:04",1015
"32",0,1,270,0,1,0,0,0,0,1,0,"6/29/2018 18:34","6/29/2018 15:44","9/6/2019","1/30/2019 14:15",600
"33",0,1,0,0,1,0,0,1,0,0,0,"8/24/2017 18:12","","9/9/2019","",909
"34",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"35",0,0,0,0,0,0,0,0,0,1,0,"8/24/2017 18:12","","","",909
"36",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"37",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"38",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"39",0,0,0,0,0,0,0,0,0,0,1,"9/26/2018 0:00","","2/18/2019","",511
"40",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"41",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"42",0,0,0,0,0,0,0,0,0,1,0,"8/24/2017 18:12","","","",909
"43",0,0,0,0,0,0,0,0,0,1,0,"8/24/2017 18:12","","","",909
"44",0,0,4,0,1,0,0,0,0,0,1,"10/26/2017 8:23","3/13/2018 3:00","11/14/2018","8/6/2018 14:08",846
"45",0,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",909
"46",1,0,0,0,0,0,0,0,0,1,0,"8/24/2017 18:12","5/11/2017 0:00","","",NA
"47",0,1,0,0,1,0,1,0,0,0,0,"8/24/2017 18:12","2/23/2018 0:00","1/3/2019","",909
"48",0,1,0,0,0,0,0,0,0,0,1,"8/24/2017 16:40","2/28/2017 0:00","4/27/2018","",1086
"49",0,1,0,0,0,0,0,0,0,0,1,"8/24/2017 18:12","7/17/2019 15:18","8/30/2018","",909
"50",1,0,0,0,0,0,0,0,1,0,0,"8/24/2017 18:12","","","",NA
"51",0,1,16,0,0,0,0,0,0,0,1,"8/24/2017 16:40","","2/19/2019","11/21/2018 8:15",909
